cheep	A chirp, peep, or squeak, as of a young bird or mouse.
beige	Debeige.
ditty	A saying or utterance; especially, one that is short and frequently repeated; a theme.
flail	An instrument for threshing or beating grain from the ear by hand, consisting of a wooden staff or handle, at the end of which a stouter and shorter pole or club, called a swipe, is so hung as to swing freely.
gives	Fetters.
lever	A rigid piece which is capable of turning about one point, or axis (the fulcrum), and in which are two or more other points where forces are applied; -- used for transmitting and modifying force and motion. Specif., a bar of metal, wood, or other rigid substance, used to exert a pressure, or sustain a weight, at one point of its length, by receiving a force or power at a second, and turning at a third on a fixed point called a fulcrum. It is usually named as the first of the six mechanical powers, and is of three kinds, according as either the fulcrum F, the weight W, or the power P, respectively, is situated between the other two, as in the figures.
benne	The name of two plants (Sesamum orientale and Sesamum indicum), originally Asiatic; -- also called oil plant. From their seeds an oil is expressed, called benne oil or sesame oil, used mostly for making soap. In the southern United States the seeds are used in candy.
breed	A race or variety of men or other animals (or of plants), perpetuating its special or distinctive characteristics by inheritance.
dower	That with which one is gifted or endowed; endowment; gift.
bijou	A trinket; a jewel; -- a word applied to anything small and of elegant workmanship.
cater	The four of cards or dice.
odeon	A kind of theater in ancient Greece, smaller than the dramatic theater and roofed over, in which poets and musicians submitted their works to the approval of the public, and contended for prizes; -- hence, in modern usage, the name of a hall for musical or dramatic performances.
stulp	A short, stout post used for any purpose, a to mark a boundary.
sloke	See sloakan.
ascap	the American Society of Cinematographers.
assay	To try; to attempt; to apply.
block	To obstruct so as to prevent passage or progress; to prevent passage from, through, or into, by obstructing the way; -- used both of persons and things; -- often followed by up; as, to block up a road or harbor; to block an entrance.
coati	A mammal of tropical America of the genus Nasua, allied to the raccoon, having a ringed tail but with a longer body, tail, and nose; -- called also coati mondi and coati mundi.
privy	A partaker; a person having an interest in any action or thing; one who has an interest in an estate created by another; a person having an interest derived from a contract or conveyance to which he is not himself a party.  The term, in its proper sense, is distinguished from party.
tutti	All; -- a direction for all the singers or players to perform together.
bleat	A plaintive cry of, or like that of, a sheep.
carry	A tract of land, over which boats or goods are carried between two bodies of navigable water; a carrying place; a portage.
tafia	A variety of rum.
bilbo	A rapier; a sword; so named from Bilbao, in Spain.
forum	A market place or public place in Rome, where causes were judicially tried, and orations delivered to the people.
pinto	Any pied animal; esp., a pied or <ldquo/painted<rdquo/ horse.
speed	To go; to fare.
slaie	A weaver's reed; a sley.
frond	The organ formed by the combination or union into one body of stem and leaf, and often bearing the fructification; as, the frond of a fern or of a lichen or seaweed; also, the peculiar leaf of a palm tree.
orvet	The blindworm.
siwin	Same as Sewen.
wahoo	A dark blue scombroid food fish (Acanthocibium solandri or Acanthocibium petus) of Florida and the West Indies.
camas	same as camass.
daisy	The whiteweed (Chrysanthemum Leucanthemum), the plant commonly called daisy in North America; -- called also oxeye daisy. See Whiteweed.
nacre	A pearly substance which lines the interior of many shells, and is most perfect in the mother-of-pearl.
catty	An East Indian Weight of 1<frac13/ pounds.
rotor	The rotating part of a generator or motor.  Contrasted with stator, the stationary part.
wekau	A small New Zealand owl (Sceloglaux albifacies). It has short wings and long legs, and lives chiefly on the ground.
berbe	An African genet (Genetta pardina). See Genet.
palus	One of several upright slender calcareous processes which surround the central part of the calicle of certain corals.
sherd	A fragment; -- now used only in composition, as in potsherd. See Shard.
tract	Something drawn out or extended; expanse.
unhap	Ill luck; misfortune.
uncia	A twelfth part, as of the Roman as; an ounce.
yahoo	One of a race of filthy brutes resembling men but subject to the Houyhnhnms in Swift's <ldquo/Gulliver's Travels.<rdquo/  See in the Dictionary of Noted Names in Fiction.
alfet	A caldron of boiling water into which an accused person plunged his forearm as a test of innocence or guilt.
japer	A jester; a buffoon.
nassa	Any species of marine gastropods, of the genera Nassa, Tritia, and other allied genera of the family Nassidae; a dog whelk. See Illust. under Gastropoda.
rille	One of certain narrow, crooked valleys seen, by aid of the telescope, on the surface of the moon.
ergal	Potential energy; negative value of the force function.
elect	One chosen or set apart.
lokao	A green vegetable dye imported from China.
crate	A large basket or hamper of wickerwork, used for the transportation of china, crockery, and similar wares.
stuke	Stucco.
lunar	A lunar distance.
mucin	See Mucedin.
beany	same as beanie.
foxes	See Fox, n., 7.
scole	School.
tofus	Tophus.
vetch	Any leguminous plant of the genus Vicia, some species of which are valuable for fodder. The common species is Vicia sativa.
lurch	A sudden and capricious inclination of the mind.
pokal	A tall drinking cup.
scuff	The back part of the neck; the scruff.
solas	Solace.
urine	In mammals, a fluid excretion from the kidneys; in birds and reptiles, a solid or semisolid excretion.
outer	One who puts out, ousts, or expels; also, an ouster; dispossession.
reata	A lariat.
first	The upper part of a duet, trio, etc., either vocal or instrumental; -- so called because it generally expresses the air, and has a pre<eum/minence in the combined effect.
hours	Goddess of the seasons, or of the hours of the day.
junco	Any bird of the genus Junco, which includes several species of North American finches; -- called also snowbird, or blue snowbird.
chute	A framework, trough, or tube, upon or through which objects are made to slide from a higher to a lower level, or through which water passes to a wheel.
drove	To drive, as cattle or sheep, esp. on long journeys; to follow the occupation of a drover.
gurge	A whirlpool.
lhasa	The capital city of Tibet; it is the sacred city of Lamaism.
trier	One who tries; one who makes experiments; one who examines anything by a test or standard.
moose	A large cervine mammal (Alces alces syn. Alces machlis, syn Alces Americanus), native of the Northern United States and Canada. The adult male is about as large as a horse, and has very large, palmate antlers. It closely resembles the European elk, and by many Zoologists is considered the same species. See Elk.
vower	One who makes a vow.
weave	A particular method or pattern of weaving; as, the cassimere weave.
sieur	Sir; -- a title of respect used by the French.
bitch	The female of the canine kind, as of the dog, wolf, and fox.
chant	Song; melody.
ethyl	A monatomic, hydrocarbon radical, C2H5 of the paraffin series, forming the essential radical of ethane, and of common alcohol and ether.
flair	Smell; odor.
maria	Plural form of mare, a dark region of considerable extent on the surface of the moon.
malet	A little bag or budget.
singe	A burning of the surface; a slight burn.
slent	See Slant.
tenet	Any opinion, principle, dogma, belief, or doctrine, which a person holds or maintains as true; as, the tenets of Plato or of Cicero.
vowel	A vocal, or sometimes a whispered, sound modified by resonance in the oral passage, the peculiar resonance in each case giving to each several vowel its distinctive character or quality as a sound of speech; -- distinguished from a consonant in that the latter, whether made with or without vocality, derives its character in every case from some kind of obstructive action by the mouth organs. Also, a letter or character which represents such a sound.  See Guide to Pronunciation, <sect/<sect/ 5, 146-149.
loach	Any one of several small, fresh-water, cyprinoid fishes of the genera Cobitis, Nemachilus, and allied genera, having six or more barbules around the mouth. They are found in Europe and Asia. The common European species (Nemachilus barbatulus) is used as a food fish.
maybe	Possibility; uncertainty.
siaga	The ahu, or jairou.
yeman	A yeoman.
bruit	Report; rumor; fame.
clary	A plant (Salvia sclarea) of the Sage family, used in flavoring soups.
frump	A contemptuous speech or piece of conduct; a gibe or flout.
snore	A harsh nasal noise made in sleep.
teens	The years of one's age having the termination -teen, beginning with thirteen and ending with nineteen; as, a girl in her teens.
ancle	See Ankle.
noble	A person of rank above a commoner; a nobleman; a peer.
poyou	A South American armadillo (Dasypus sexcinctus). Called also sixbanded armadillo.
spawl	Scattered or ejected spittle.
bread	An article of food made from flour or meal by moistening, kneading, and baking.
midas	A genus of longeared South American monkeys, including numerous species of marmosets. See Marmoset.
pirie	A pear tree.
snick	See Sneck.
snead	A snath.
arian	One who adheres to or believes the doctrines of Arius.
bosom	The breast of a human being; the part, between the arms, to which anything is pressed when embraced by them.
close	An inclosed place; especially, a small field or piece of land surrounded by a wall, hedge, or fence of any kind; -- specifically, the precinct of a cathedral or abbey.
dicer	A player at dice; a dice player; a gamester.
slink	The young of a beast brought forth prematurely, esp. a calf brought forth before its time.
waive	A waif; a castaway.
dynam	A unit of measure for dynamical effect or work; a foot pound. See Foot pound.
gemma	A leaf bud, as distinguished from a flower bud.
harem	The apartments or portion of the house allotted to females in Muslim families.
plage	A region; country.
clump	An unshaped piece or mass of wood or other substance.
kymry	See Cymry.
ermit	A hermit.
amvis	An explosive consisting of ammonium nitrate, a derivative of nitrobenzene, chlorated napthalene, and wood meal.
guest	A visitor; a person received and entertained in one's house or at one's table; a visitor entertained without pay.
hinny	A term of endearment; darling; -- corrupted from honey.
blush	A suffusion of the cheeks or face with red, as from a sense of shame, confusion, or modesty.
reign	To possess or exercise sovereign power or authority; to exercise government, as a king or emperor;; to hold supreme power; to rule.
trode	Tread; footing.
tread	A step or stepping; pressure with the foot; a footstep; as, a nimble tread; a cautious tread.
breve	A note or character of time, equivalent to two semibreves or four minims. When dotted, it is equal to three semibreves. It was formerly of a square figure (as thus: <?/ ), but is now made oval, with a line perpendicular to the staff on each of its sides; -- formerly much used for choir service.
drama	A composition, in prose or poetry, accommodated to action, and intended to exhibit a picture of human life, or to depict a series of grave or humorous actions of more than ordinary interest, tending toward some striking result. It is commonly designed to be spoken and represented by actors on the stage.
phono	A South American butterfly (Ithonia phono) having nearly transparent wings.
upher	A fir pole of from four to seven inches diameter, and twenty to forty feet long, sometimes roughly hewn, used for scaffoldings, and sometimes for slight and common roofs, for which use it is split.
valet	A male waiting servant; a servant who attends on a gentleman's person; a body servant.
cover	Anything which is laid, set, or spread, upon, about, or over, another thing; an envelope; a lid; as, the cover of a book.
group	To form a group of; to arrange or combine in a group or in groups, often with reference to mutual relation and the best effect; to form an assemblage of.
panic	A sudden, overpowering fright; esp., a sudden and groundless fright; terror inspired by a trifling cause or a misapprehension of danger; as, the troops were seized with a panic; they fled in a panic.
staff	Plaster combined with fibrous and other materials so as to be suitable for sculpture in relief or in the round, or for forming flat plates or boards of considerable size which can be nailed to framework to make the exterior of a larger structure, forming joints which may afterward be repaired and concealed with fresh plaster.
limit	That which terminates, circumscribes, restrains, or confines; the bound, border, or edge; the utmost extent; as, the limit of a walk, of a town, of a country; the limits of human knowledge or endeavor.
wince	A reel used in dyeing, steeping, or washing cloth; a winch. It is placed over the division wall between two wince pits so as to allow the cloth to descend into either compartment. at will.
bogue	The boce; -- called also bogue bream. See Boce.
gloss	Brightness or luster of a body proceeding from a smooth surface; polish; as, the gloss of silk; cloth is calendered to give it a gloss.
rally	Good-humored raillery.
saros	A Chaldean astronomical period or cycle, the length of which has been variously estimated from 3,600 years to 3,600 days, or a little short of 10 years.
mouse	Any one of numerous species of small rodents belonging to the genus Mus and various related genera of the family Muridae.  The common house mouse (Mus musculus) is found in nearly all countries.  The American white-footed mouse, or deer mouse (Peromyscus leucopus, formerly Hesperomys leucopus) sometimes lives in houses.  See Dormouse, Meadow mouse, under Meadow, and Harvest mouse, under Harvest.
hirer	One who hires.
hubby	Husband.
kapia	The fossil resin of the kauri tree of New Zealand.
msasa	Amall shrubby African tree (Brachystegia speciformis) having compound leaves and racemes of small fragrant green flowers.
punka	A machine for fanning a room, usually a movable fanlike frame covered with canvas, and suspended from the ceiling. It is kept in motion by pulling a cord.
runch	The wild radish.
hamal	In Turkey and other Oriental countries, a porter or burden bearer; specif., in Western India, a palanquin bearer.
jimmy	An immigrant.
peele	A graceful and swift South African antelope (Pelea capreola).  The hair is woolly, and ash-gray on the back and sides.  The horns are black, long, slender, straight, nearly smooth, and very sharp.  Called also rheeboc, rhebuck, rhebok, and rehboc.
tibia	The inner, or preaxial, and usually the larger, of the two bones of the leg or hind limb below the knee.
addax	One of the largest African antelopes (Hippotragusnasomaculatus or Oryx nasomaculatus).
brize	The breeze fly. See Breeze.
botts	See Bots.
ketol	One of a series of series of complex nitrogenous substances, represented by methyl ketol and related to indol.
rider	One who, or that which, rides.
sloyd	Lit., skilled mechanical work, such as that required in wood carving; trade work; hence, a system (usually called the sloyd system) of manual training in the practical use of the tools and materials used in the trades, and of instruction in the making and use of the plans and specifications connected with trade work. The  sloyd system derives its name from the fact that it was adopted or largely developed from a similar Swedish system, in which wood carving was a chief feature. Its purpose is not only to afford practical skill in some trade, but also to develop the pupils mentally and physically.
sweat	The fluid which is excreted from the skin of an animal; the fluid secreted by the sudoriferous glands; a transparent, colorless, acid liquid with a peculiar odor, containing some fatty acids and mineral matter; perspiration. See Perspiration.
boyau	A winding or zigzag trench forming a path or communication from one siegework to another, to a magazine, etc.
crare	A slow unwieldy trading vessel.
ousel	One of several species of European thrushes, especially the blackbird (Merula merula, or Turdus merula), and the mountain or ring ousel (Turdus torquatus).
stove	A house or room artificially warmed or heated; a forcing house, or hothouse; a drying room; -- formerly, designating an artificially warmed dwelling or room, a parlor, or a bathroom, but now restricted, in this sense, to heated houses or rooms used for horticultural purposes or in the processes of the arts.
quipo	Same as Quipu.
sasin	The Indian antelope (Antilope bezoartica syn.  Antilope cervicapra), noted for its beauty and swiftness. It has long, spiral, divergent horns.
truck	Exchange of commodities; barter.
whort	The whortleberry, or bilberry.  See Whortleberry (a).
water	The fluid which descends from the clouds in rain, and which forms rivers, lakes, seas, etc.
spoon	An implement consisting of a small bowl (usually a shallow oval) with a handle, used especially in preparing or eating food.
capri	Wine produced on the island of Capri, commonly a light, dry, white wine.
colza	A variety of cabbage (Brassica oleracea), cultivated for its seeds, which yield an oil valued for illuminating and lubricating purposes; summer rape.
deity	The collection of attributes which make up the nature of a god; divinity; godhead; as, the deity of the Supreme Being is seen in his works.
frown	A wrinkling of the face in displeasure, rebuke, etc.; a sour, severe, or stern look; a scowl.
mormo	A bugbear; false terror.
razor	A keen-edged knife of peculiar shape, used in shaving the hair from the face or the head; also called a straight razor.
rewme	Realm.
fleak	A flake; a thread or twist.
larum	See Alarum, and Alarm.
poize	See Poise.
trail	A track left by man or beast; a track followed by the hunter; a scent on the ground by the animal pursued; as, a deer trail.
cling	Adherence; attachment; devotion.
mange	The scab or itch in cattle, dogs, and other beasts.
scuta	See Scutum.
wilwe	Willow.
piony	See Peony.
ramie	The grasscloth plant (B<oe/hmeria nivea); also, its fiber, which is very fine and exceedingly strong; -- called also China grass, and rhea. See Grass-cloth plant, under Grass.
wheft	See Waft, n., 4.
empty	An empty box, crate, cask, etc.; -- used in commerce, esp. in transportation of freight; as, <ldquo/special rates for empties.<rdquo/
flood	A great flow of water; a body of moving water; the flowing stream, as of a river; especially, a body of water, rising, swelling, and overflowing land not usually thus covered; a deluge; a freshet; an inundation.
werre	War.
chirm	Noise; din; esp.; confused noise, clamor, or hum of many voices, notes of birds, or the like.
guano	A substance found in great abundance on some coasts or islands frequented by sea fowls, and composed chiefly of their excrement. It is rich in phosphates and ammonia, and is used as a powerful fertilizer.
aster	A genus of herbs with compound white or bluish flowers; starwort; Michaelmas daisy.
bunny	A pet name for a rabbit or a squirrel.
quote	A note upon an author.
sight	The act of seeing; perception of objects by the eye; view; as, to gain sight of land.
skein	A flight of wild fowl (wild geese or the like).
caulk	See Calk.
farcy	A contagious disease of horses, associated with painful ulcerating enlargements, esp. upon the head and limbs. It is of the same nature as glanders, and is often fatal. Called also farcin, and farcimen.
pasty	A pie consisting usually of meat wholly surrounded with a crust made of a sheet of paste, and often baked without a dish; a meat pie.
urite	One of the segments of the abdomen or post-abdomen of arthropods.
aloin	A bitter purgative principle in aloes.
iodol	A crystallized substance of the composition C4I4NH, technically tetra-iodo-pyrrol, used like iodoform.
moche	A bale of raw silk.
poise	To balance; to make of equal weight; as, to poise the scales of a balance.
quoif	See Coif.
laver	The fronds of certain marine alg<ae/ used as food, and for making a sauce called laver sauce.  Green laver is the Ulva latissima; purple laver, Porphyra laciniata and Porphyra vulgaris. It is prepared by stewing, either alone or with other vegetables, and with various condiments; -- called also sloke, or sloakan.
melee	A fight in which the combatants are mingled in one confused mass; a hand to hand conflict; an affray.
nowel	The bottom part of a mold or of a flask, in distinction from the cope; the drag.
panch	See Paunch.
cotta	A surplice, in England and America usually one shorter and less full than the ordinary surplice and with short sleeves, or sometimes none.
gobet	See Gobbet.
krait	A very venomous snake of India (Bungarus coeruleus), allied to the cobra.  Its upper parts are bluish or brownish black, often with narrow white streaks; the belly is whitish.
match	Anything used for catching and retaining or communicating fire, made of some substance which takes fire readily, or remains burning some time; esp., a small strip or splint of wood or cardboard dipped at one end in a substance which can be easily ignited by friction, as a preparation of phosphorus or chlorate of potassium.
pavin	See Pavan.
aging	the process by which objects or materials acquire desirable qualities by being left undisturbed for some time under specific conditions.  It is used mostly for foods snd beverages, but also for other materials.
conge	To take leave with the customary civilities; to bow ceremoniously, or courtesy.
glaze	The vitreous coating of pottery or porcelain; anything used as a coating or color in glazing. See Glaze, v. t., 3.
foist	A foister; a sharper.
grype	A vulture; the griffin.
slave	A person who is held in bondage to another; one who is wholly subject to the will of another; one who is held as a chattel; one who has no freedom of action, but whose person and services are wholly under the control of another.
binny	A large species of barbel (Barbus bynni), found in the Nile, and much esteemed for food.
strip	A narrow piece, or one comparatively long; as, a strip of cloth; a strip of land.
delve	A place dug; a pit; a ditch; a den; a cave.
exile	Forced separation from one's native country; expulsion from one's home by the civil authority; banishment; sometimes, voluntary separation from one's native country.
funka	A genus of robust East Asian clump-forming perennial herbs having racemose flowers: plantain lilies; sometimes placed in the family Hostaceae.
kaama	The hartbeest.
lager	Lager beer.
parts	The local environment; as, he hasn't been seen around these parts in years.
brits	the people of Great Britain.
gilse	See Grilse.
phlox	A genus of American herbs, having showy red, white, or purple flowers.
bonus	A premium given for a loan, or for a charter or other privilege granted to a company; as the bank paid a bonus for its charter.
clasp	An adjustable catch, bent plate, or hook, for holding together two objects or the parts of anything, as the ends of a belt, the covers of a book, etc.
maneh	A Hebrew weight for gold or silver, being one hundred shekels of gold and sixty shekels of silver.
rabot	A rubber of hard wood used in smoothing marble to be polished.
album	A white tablet on which anything was inscribed, as a list of names, etc.
bonce	A boy's game played with large marbles.
natch	The rump of beef; esp., the lower and back part of the rump.
ovoid	A solid resembling an egg in shape.
voice	Sound uttered by the mouth, especially that uttered by human beings in speech or song; sound thus uttered considered as possessing some special quality or character; as, the human voice; a pleasant voice; a low voice.
budge	A kind of fur prepared from lambskin dressed with the wool on; -- used formerly as an edging and ornament, esp. of scholastic habits.
maian	Any spider crab of the genus Maia, or family Maiadae.
spire	A spiral; a curl; a whorl; a twist.
sprit	A small boom, pole, or spar, which crosses the sail of a boat diagonally from the mast to the upper aftmost corner, which it is used to extend and elevate.
grume	A thick, viscid fluid; a clot, as of blood.
aphid	One of the genus Aphis; an aphidian.
diary	A register of daily events or transactions; a daily record; a journal; a blank book dated for the record of daily memoranda; as, a diary of the weather; a physician's diary.
faule	A fall or falling band.
perel	Apparel.
sewin	Same as Sewen.
debit	A debt; an entry on the debtor (Dr.) side of an account; -- mostly used adjectively; as, the debit side of an account.
femur	The proximal segment of the hind limb containing the thigh bone; the thigh. See Coxa.
inane	That which is void or empty.
puree	A dish made by boiling any article of food to a pulp and then blending it or rubbing it through a sieve; as, a pur<eacute/e of fish, or of potatoes; especially, a soup the thickening of which is so treated.
sprig	A small shoot or twig of a tree or other plant; a spray; as, a sprig of laurel or of parsley.
tamis	A sieve, or strainer, made of a kind of woolen cloth.
venus	The goddess of beauty and love, that is, beauty or love deified.
estre	The inward part of a building; the interior.
stave	To break in a stave or the staves of; to break a hole in; to burst; -- often with in; as, to stave a cask; to stave in a boat.
torch	A light or luminary formed of some combustible substance, as of resinous wood; a large candle or flambeau, or a lamp giving a large, flaring flame.
tayra	A South American carnivore (Galera barbara) allied to the grison. The tail is long and thick. The length, including the tail, is about three feet.
mumps	Sullenness; silent displeasure; the sulks.
uhlan	One of a certain description of militia among the Tartars.
wharp	A kind of fine sand from the banks of the Trent, used as a polishing powder.
amine	One of a class of basic substances derived from ammonia by replacement of one or more hydrogen atoms by an alkyl or aryl group.  Compare amide, in which an acyl group is attached to the nitrogen.  Hydroxylamine and hydrazine, which are not an organic compounds, are also basic and may also be considered amines.
coyol	a tropical American palm (Acrocomia vinifera) having edible nuts and yielding a useful fiber.
catel	Property; -- often used by Chaucer in contrast with rent, or income.
missy	Like a miss, or girl.
swerd	Sword.
spang	A spangle or shining ornament.
boree	Same as Bourr<eacute/e.
abysm	An abyss; a gulf.
idler	One who idles; one who spends his time in inaction; a lazy person; a sluggard.
osier	One of the long, pliable twigs of this plant, or of other similar plants.
prank	A gay or sportive action; a ludicrous, merry, or mischievous trick; a caper; a frolic.
rhomb	An equilateral parallelogram, or quadrilateral figure whose sides are equal and the opposite sides parallel.  The angles may be unequal, two being obtuse and two acute, as in the cut, or the angles may be equal, in which case it is usually called a square.
trona	A native double salt, consisting of a combination of neutral and acid sodium carbonate, Na2CO3.2HNaCO3.2H2O, occurring as a white crystalline fibrous deposit from certain soda brine springs and lakes; -- called also urao, and by the ancients nitrum.
fluor	A fluid state.
fever	A diseased state of the system, marked by increased heat, acceleration of the pulse, and a general derangement of the functions, including usually, thirst and loss of appetite.  Many diseases, of which fever is the most prominent symptom, are denominated fevers; as, typhoid fever; yellow fever.
julus	A catkin or ament. See Ament.
macho	A form of dark matter in distant outer space unobservable except by its gravitational effect, and believed to be at least part of the <ldquo/missing matter<rdquo/ which is unobservable as ordinary stars, but helps keep galaxies from flying apart; MACHOS are massive but compact objects such as neutron stars or brown dwarfs, which can be detected (with difficulty) by their effect in bending light from distant light sources, such as other galaxies.  This can occur if by rare chance a MACHO passes in front of a more distant visible object, and the light from that object becomes temporarily amplified by the MACHO acting as a gravitational lens.  Some MACHOs have been discovered in the halo of dark matter that surrounds our milky way.  It is, however, questionable whether the amount of such matter is sufficient to explain the ability of galaxies to stay together in spite of rotation rates that would cause them to fly apart if the only matter present was that observable as visible stars.
odmyl	A volatile liquid obtained by boiling sulphur with linseed oil.  It has an unpleasant garlic odor.
plumb	A little mass or weight of lead, or the like, attached to a line, and used by builders, etc., to indicate a vertical direction; a plummet; a plumb bob. See Plumb line, below.
shock	A dog with long hair or shag; -- called also shockdog.
auger	A carpenter's tool for boring holes larger than those bored by a gimlet. It has a handle placed crosswise by which it is turned with both hands. A pod auger is one with a straight channel or groove, like the half of a bean pod. A screw auger has a twisted blade, by the spiral groove of which the chips are discharge.
appel	A tap or stamp of the foot as a warning of intent to attack; -- called also attack.
goods	See Good, n., 3.
hoboy	A hautboy or oboe.
raphe	A line, ridge, furrow, or band of fibers, especially in the median line; as, the raphe of the tongue.
waker	One who wakes.
juice	The characteristic fluid of any vegetable or animal substance; the sap or part which can be expressed from fruit, etc.; the fluid part which separates from meat in cooking.
ninth	The quotient of one divided by nine; one of nine equal parts of a thing; the next after the eighth.
train	That which draws along; especially, persuasion, artifice, or enticement; allurement.
argas	A genus of venomous ticks which attack men and animals.  The famous Persian Argas, also called Miana bug, is Argas Persicus; that of Central America, called talaje by the natives, is Argas Talaje.
fight	A battle; an engagement; a contest in arms; a combat; a violent conflict or struggle for victory, between individuals or between armies, ships, or navies, etc.
paard	The zebra.
shend	To injure, mar, spoil, or harm.
durra	A kind of millet, cultivated throughout Asia, and introduced into the south of Europe; a variety of Sorghum vulgare; -- called also Indian millet, and Guinea corn.
hiver	One who collects bees into a hive.
mince	A short, precise step; an affected manner.
trial	The act of trying or testing in any manner.
bahai	A member of the sect of the Babis consisting of the adherents of Baha (Mirza Husain Ali, entitled <ldquo/Baha 'u 'llah,<rdquo/ or, <ldquo/the Splendor of God<rdquo/), the elder half brother of Mirza Yahya of Nur, who succeeded the Bab as the head of the Babists.  Baha in 1863 declared himself the supreme prophet of the sect, and became its recognized head.  There are upwards of 20,000 Bahais in the United States.
color	A property depending on the relations of light to the eye, by which individual and specific differences in the hues and tints of objects are apprehended in vision; as, gay colors; sad colors, etc.
hulch	A hunch.
owner	One who owns; a rightful proprietor; one who has the legal or rightful title, whether he is the possessor or not.
whole	The entire thing; the entire assemblage of parts; totality; all of a thing, without defect or exception; a thing complete in itself.
xylan	A gummy substance of the pentosan class, present in woody tissue, and yielding xylose on hydrolysis; wood gum.
cause	To effect as an agent; to produce; to be the occasion of; to bring about; to bring into existence; to make; -- usually followed by an infinitive, sometimes by that with a finite verb.
flock	A lock of wool or hair.
fadge	A small flat loaf or thick cake; also, a fagot.
japan	Work varnished and figured in the Japanese manner; also, the varnish or lacquer used in japanning.
preve	Proof.
satin	A silk cloth, of a thick, close texture, and overshot woof, which has a glossy surface.
enact	Purpose; determination.
mercy	Forbearance to inflict harm under circumstances of provocation, when one has the power to inflict it; compassionate treatment of an offender or adversary; clemency.
notum	The back.
rival	A person having a common right or privilege with another; a partner.
okapi	A peculiar mammal (Okapia johnstoni) closely related to the giraffe, discovered in the deep forests of Belgian Congo in 1900.  It is smaller than an ox, and somewhat like a giraffe, except that the neck is much shorter.  Like the giraffe, it has no dewclaws.  There is a small prominence on each frontal bone of the male.  The color of the body is chiefly reddish chestnut, the cheeks are yellowish white, and the fore and hind legs above the knees and the haunches are striped with purplish black and cream color.
spore	One of the minute grains in flowerless plants, which are analogous to seeds, as serving to reproduce the species.
clove	One of the small bulbs developed in the axils of the scales of a large bulb, as in the case of garlic.
hobit	A small mortar on a gun carriage, in use before the howitzer.
lucre	Gain in money or goods; profit; riches; -- often in an ill sense.
stalk	A high, proud, stately step or walk.
spasm	An involuntary and unnatural contraction of one or more muscles or muscular fibers.
sambo	A colloquial or humorous appellation for a negro; sometimes, the offspring of a black person and a mulatto; a zambo.
ulmin	A brown amorphous substance found in decaying vegetation.  Cf. Humin.
plash	The branch of a tree partly cut or bent, and bound to, or intertwined with, other branches.
ambit	Circuit or compass.
anasa	a genus comprising the squash bugs.
boyne	a battle in the War of the Grand Alliance in Ireland in 1690, where William III of England defeated the deposed James II and so ended Stuart Catholicism in England.
cavin	A hollow way, adapted to cover troops, and facilitate their aproach to a place.
carob	An evergreen leguminous tree (Ceratania Siliqua) found in the countries bordering the Mediterranean; the St. John's bread; -- called also carob tree.
divvy	a dividend, especially one paid by a cooperative society.
haven	A bay, recess, or inlet of the sea, or the mouth of a river, which affords anchorage and shelter for shipping; a harbor; a port.
whelk	Any one numerous species of large marine gastropods belonging to Buccinum and allied genera; especially, Buccinum undatum, common on the coasts both of Europe and North America, and much used as food in Europe.
women	pl. of Woman.
brand	A burning piece of wood; or a stick or piece of wood partly burnt, whether burning or after the fire is extinct.
hider	One who hides or conceals.
hoker	Scorn; derision; abusive talk.
kyack	A pack sack to be swung on either side of a packsaddle.
spear	A long, pointed weapon, used in war and hunting, by thrusting or throwing; a weapon with a long shaft and a sharp head or blade; a lance.
chore	A choir or chorus.
lepal	A sterile transformed stamen.
oasis	A fertile or green spot in a waste or desert, esp. in a sandy desert, where the water table approaches the surface.
spong	An irregular, narrow, projecting part of a field.
shive	A slice; as, a shive of bread.
knish	A fried, or sometimes baked, turnover made from a round or square sheet of dough containing a filling, usually of meat or potatoes.
manks	The language spoken in the Isle of Man. See Manx.
scram	the rapid shut down of a nuclear reactor, as in an emergency.
pilwe	A pillow.
algum	Same as Almug (and etymologically preferable).
cloak	A loose outer garment, extending from the neck downwards, and commonly without sleeves. It is longer than a cape, and is worn both by men and by women.
cimex	A genus of hemipterous insects of which the bedbug is the best known example. See Bedbug.
ferie	A holiday.
greve	A grove.
gully	A channel or hollow worn in the earth by a current of water; a short deep portion of a torrent's bed when dry.
largo	A movement or piece in largo time.
tongs	An instrument, usually of metal, consisting of two parts, or long shafts, jointed together at or near one end, or united by an elastic bow, used for handling things, especially hot coals or metals; -- often called a pair of tongs.
doupe	The carrion crow.
elfin	A little elf or urchin.
leech	A physician or surgeon; a professor of the art of healing.
bogie	A four-wheeled truck, having a certain amount of play around a vertical axis, used to support in part a locomotive on a railway track.
bield	A shelter. Same as Beild.
clink	A prison cell; a lockup; -- probably orig. the name of the noted prison in Southwark, England.
darky	a negro; an African-American; -- an older term now considered offensive.
funis	A cord; specifically, the umbilical cord or navel string.
gazet	A Venetian coin, worth about three English farthings, or one and a half cents.
attic	A room or rooms behind that part of the exterior; all the rooms immediately below the roof.
brant	A species of wild goose (Branta bernicla) -- called also brent and brand goose. The name is also applied to other related species.
cargo	The lading or freight of a ship or other vessel; the goods, merchandise, or whatever is conveyed in a vessel or boat; load; freight.
error	A wandering; a roving or irregular course.
